customer_id,state,total_revenue,frequency,recency_days
8ec995e911f92a26221b61e7d7e98c77,SP,51.69,1,2739
bf4de82f32ef651f28d27c81bcda7407,SP,51.6,1,2715
7ba7d0e0202fc622e5b327fdb02434c0,SP,51.56,1,2689
8fa9bc6a96c911b47c831c172dcdc116,SP,51.52,1,2689
972113ea2f5747454eab08fb128eca53,PR,51.41,1,2659
3101e9e2d592df1da88ec72302bb87b1,SP,51.26,1,2681
aff60c8baded1f7e3a2f72e91f05547a,RJ,51.25,1,2659
13fb43880f01c5169ed9b4fedf122823,SP,51.2,1,2684
2915dfa6fb1156ca22ee847e6954759b,SP,51.13,1,2726
2c3f08833026ca74c848795bab72046d,PE,51.13,1,2677
22ada7e7aee4c701a64b7d2a8b1d3772,MG,51.13,1,2732
8dbf7fdcafff8582fe61d95d288f87fd,DF,51.12,1,2711
90162d136020a80dcb381eb7a112f574,MT,51.12,1,2695
70b61c3475990997e7c37c16c9fae89a,SP,51.07,1,2717
3400a0ad8864ba57b7857d725e77fc2b,MG,51.07,1,2685
f222237fb2133250694c98c1da46cf3e,SP,51.04,1,2681
aaa1d7dcc0c7239e0f161090d2aa2423,SP,51.04,1,2661
8357f83328ee3f5e579988844539522d,BA,51.03,1,2724
14b2a904e8bcb72a2bbdbcf5b8e54978,PR,51.03,1,2699
51b929efbf63464d36f05ad3d174e443,BA,50.99,1,2674
40efffc7786c7185ed26f5e9b2c3e646,PR,50.99,1,2662
54517409e1cc02ae9fc3d71c4b55c996,PE,50.94,1,2710
fa5e9e57a97929014972b48723035b76,RJ,50.93,1,2728
55408c56825b0611d385aa22b233e383,SP,50.93,1,2655
554e72ada8751c515ab293a7605b530e,SP,50.93,1,2652
63602165063adb084016e19dde425ce7,SP,50.93,1,2689
8745b35618d22fea8be7fff3e7e71e91,SP,50.93,1,2686
b5e467a2fd8bbb9e93feecceae7f4261,SP,50.83,1,2706
1b00ab4ab200e2215c0913759051f47c,SP,50.76,1,2724
21c536c8261ff78c0ed65d9e2323fce2,SP,50.72,1,2683
a4ec438b6110111c8f8dce1e01866c66,SP,50.46,1,2651
b73c72519bfcc61f91836d7a67ef40d5,SP,50.45,1,2669
175f8430de932f744f8eebc3c680915e,SP,50.45,1,2649
5f794585ed532b5bc3fb53e0a25b56f1,SP,50.45,1,2697
ef04d13b6ffcb6d0bdef9f0ac2b69966,SP,50.38,1,2679
d2a79636084590b7465af8ab374a8cf5,SC,50.35,1,2673
b87e13936750898a0ae99e6436f4e07c,RJ,50.35,1,2716
e3ad01bc69a7aa6673d5213844440e1d,RJ,50.32,1,2692
f280548eca7d2b0ef9da3fc572df42ce,SP,50.26,1,2683
1b5277287e2a36035dbb796a16e35bc7,RJ,50.24,1,2659
a9724796025983a341f8ed1fa6165cf9,RJ,50.24,1,2674
134c1eae2d05bfbd29cfa49fe67f7404,SP,50.24,1,2706
431c7b4412d3a64acfb653fb8259a50b,RJ,50.22,1,2736
a1b041bf294ac9a4c79a3ade1f9c5bac,SP,50.19,1,2699
e32e9fcffdbc48d88fa2788d44caf137,MS,50.13,1,2732
729862db9ace71f44613602b0bb1ff40,SP,50.1,1,2719
5dce98bda89783dccab4fa1ed6ffc28f,BA,50.03,1,2679
