customer_id,state,total_revenue,frequency,recency_days
7dd42f87abf5ce34634ca3c2b87cee97,GO,67.6,1,3035
7ba520aa0e64d984c4518b4da81547a4,MG,116.94,1,3035
f6d20984abb578ea47f9f68ddb947966,SC,108.89,1,3035
634b467de7498f7aa0e8c38ad377c59e,PE,351.36,1,3035
dc04bfb55313bb15d71cc9c26f7cf6d2,RJ,317.56,1,3035
6d9a8851bb29dbceb3e46875e0848ae8,SE,248.84,1,3035
9f340837a355b99272f81b612f396566,SP,60.07,1,3035
1afc1b77214e5a8b985bca3997bb292c,MG,252.09,1,3035
afd7ea9982d46a2379b043eaf99e3020,GO,116.11,1,3034
423fa86d97e74eacb7789a4e1c1a8325,MT,1043.51,1,3034
eb71557f1184513989581773d1afc0d5,SP,76.36,1,3034
e59ea0ab16e4c5d4e49442b7ad210ef0,MG,65.11,1,3034
dd031e3cb9e37dcca6ee5b7f073a01a0,MG,160.5,1,3034
0b6131ef78d7b110b236c4e98bf65fd9,SP,215.01,1,3034
61ca1c91479ab015711930b5e4e429a3,ES,86.1,1,3034
850a1df97338476bae10e875c6d671cb,RS,138.06,1,3034
066d514a8533ab695dd9c730aec73260,MS,157.32,1,3034
3cb7adc7e73bae83c6f907892e6b0784,SP,206.31,1,3034
6653912ddf1e9cb4aa012041d238038a,DF,138.08,1,3034
d47066f2891c6abba2644add82add774,BA,138.41,1,3034
e76d3ee389e60c9f35945ad13caecf32,MG,136.08,1,3034
89a1a3f72e06c63bae4a7e9f830defe1,SP,149.69,1,3034
03dc0682e10e026f51cc524d590fc5e2,ES,367.2,1,3034
18b117cbbdbd26006b08dc421eea3650,SC,85.14,1,3034
54ce593c879d3d84082ab8d1cd076472,MG,258.16,1,3034
6f7daff9ce365b020be3e3bfa5ea27d3,MG,148.94,1,3034
7df2027daaf624fff7a43f2726f3a69c,SC,177.48,1,3034
12938c2cf80c01e9b80ad27a7e93e14b,PE,132.56,1,3034
b4f0291560dbfb345245123a068f5209,RJ,72.05,1,3034
fcf170ce0cbc74bfbc925f787a53940e,RS,207.09,1,3034
0f574bf27462cb2edf5873c751701344,SP,113.15,1,3034
d4d03dabe3ab500b604478efe09c6629,SP,123.29,1,3034
f55423f2ff6e633b328f58b0288a756d,SP,266.49,1,3034
72121723bc54405da6fd53fda50dac24,SP,102.92,1,3034
75049e113d5db07507bd6ac4cc33f46a,BA,397.46,1,3034
8e71b66773c5b21a06deafa07e3943b9,SC,147.06,1,3034
94602ee2b2723266d391c94e7d1f4d89,MG,60.09,1,3034
09ad9d1167eae6f24c762b46f6470aec,SP,163.48,1,3034
